unit_set,condition,n_units,mean_unit_delta_hz,sem_unit_delta_hz,median_unit_delta_hz,n_units_on_gt_off,n_units_on_lt_off,n_responsive_q05
all_units,amp100_freq26,194,-0.048513745704467356,0.021190792697386503,-0.019999999999999993,81,112,0
all_units,amp100_freq5,194,-0.048582474226804125,0.022698749737133764,-0.051666666666666666,73,121,0
all_units,amp180_freq26,194,0.08752577319587629,0.04764148053515219,-0.02416666666666667,86,106,1
all_units,amp180_freq5,194,-0.24757731958762888,0.03241477150934014,-0.125,33,161,0
all_units,amp250_freq26,194,-0.1472422680412371,0.023738088904578583,-0.07833333333333331,55,138,1
all_units,amp250_freq5,194,-0.187319587628866,0.01940739189691496,-0.12083333333333332,26,168,1
ks_good_units,amp100_freq26,28,0.040595238095238094,0.05669973969278456,0.029166666666666733,17,11,0
ks_good_units,amp100_freq5,28,-0.11190476190476188,0.07845204307132052,-0.057499999999999996,10,18,0
ks_good_units,amp180_freq26,28,-0.1482142857142857,0.04927464218857191,-0.0975,8,20,0
ks_good_units,amp180_freq5,28,-0.14142857142857143,0.08010174646984886,-0.03583333333333333,12,16,0
ks_good_units,amp250_freq26,28,-0.19863095238095238,0.08429145208476256,-0.035,12,16,0
ks_good_units,amp250_freq5,28,-0.23845238095238092,0.0645398131555504,-0.10750000000000001,5,23,0
